resultId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,familyStatus,Completion Status,year,circuitId,country,alt,isHistoric,trackType,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,nationality
1,22,1,1,1,1,10.0,58,1:34:50.616,5690616,39,2,1:27.452,218.300,4,1,2008,1,Australia,10,0,2,,,,,,,,0.0,No,British
2,3,5,2,2,2,8.0,58,+5.478,5696094,41,3,1:27.739,217.586,4,1,2008,1,Australia,10,0,2,,,,,,,,0.0,No,German
3,7,7,3,3,3,6.0,58,+8.163,5698779,41,5,1:28.090,216.719,4,1,2008,1,Australia,10,0,2,,,,,,,,0.0,No,German
4,5,11,4,4,4,5.0,58,+17.181,5707797,58,7,1:28.603,215.464,4,1,2008,1,Australia,10,0,2,,,,,,,,0.0,No,Spanish
5,23,3,5,5,5,4.0,58,+18.014,5708630,43,1,1:27.418,218.385,4,1,2008,1,Australia,10,0,2,,,,,,,,0.0,No,Finnish
23,1,2,1,1,1,10.0,56,1:31:18.555,5478555,37,2,1:35.405,209.158,4,1,2008,2,Malaysia,18,0,0,,,,,,,,,,Finnish
24,4,4,2,2,2,8.0,56,+19.570,5498125,39,6,1:35.921,208.033,4,1,2008,2,Malaysia,18,0,0,,,,,,,,,,Polish
25,23,8,3,3,3,6.0,56,+38.450,5517005,19,7,1:35.922,208.031,4,1,2008,2,Malaysia,18,0,0,,,,,,,,,,Finnish
26,11,3,4,4,4,5.0,56,+45.832,5524387,53,8,1:36.068,207.715,4,1,2008,2,Malaysia,18,0,0,,,,,,,,,,Italian
27,22,9,5,5,5,4.0,56,+46.548,5525103,53,3,1:35.462,209.033,4,1,2008,2,Malaysia,18,0,0,,,,,,,,,,British
28,3,5,6,6,6,3.0,56,+49.833,5528388,55,1,1:35.366,209.244,4,1,2008,2,Malaysia,18,0,0,,,,,,,,,,German
29,10,6,7,7,7,2.0,56,+1:08.130,5546685,53,12,1:36.696,206.366,4,1,2008,2,Malaysia,18,0,0,,,,,,,,,,Australian
