Track,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-01,0,",,E",,,38,"H,,S",51,",,E",28,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-02,0,",,E",,,47,"H,,S",53,",,E",37,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-03,0.02,",,E",,,49,"H,,S",55,",,E",44,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-04,0.56,",,E",,,52,"H,,S",54,",,E",49,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-05,0.16,",,E",,,51,"H,,S",54,",,E",48,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-06,0,",,E",,,52,"H,,S",59,",,E",50,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-07,0,",,E",,,50,"H,,S",57,",,E",42,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-08,0,",,E",,,47,"H,,S",54,",,E",36,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-09,0.01,",,E",,,51,"H,,S",54,",,E",45,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-10,0.01,",,E",,,50,"H,,S",55,",,E",43,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-11,0.41,",,E",,,57,"H,,S",60,",,E",53,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-12,0,",,E",,,47,"H,,S",51,",,E",43,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-13,0,",,E",,,47,"H,,S",57,",,E",35,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-14,0.6,",,E",,,52,"H,,S",56,",,E",48,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-15,0.06,",,E",,,49,"H,,S",57,",,E",39,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-16,0,",,E",,,51,"H,,S",54,",,E",49,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-17,0,",,E",,,47,"H,,S",56,",,E",37,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-18,0,",,E",,,51,"H,,S",63,",,E",41,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-19,0,",,E",,,55,"H,,S",64,",,E",46,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-20,0,",,E",,,49,"H,,S",56,",,E",41,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-21,0,",,E",,,49,"H,,S",56,",,E",42,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-22,0,",,E",,,50,"H,,S",60,",,E",39,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-23,0,",,E",,,46,"H,,S",58,",,E",37,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-24,0,",,E",,,45,"H,,S",57,",,E",37,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-25,0,",,E",,,44,"H,,S",54,",,E",36,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-26,0,",,E",,,44,"H,,S",60,",,E",33,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-27,0,",,E",,,44,"H,,S",56,",,E",32,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-28,0,",,E",,,47,"H,,S",64,",,E",35,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-29,0,",,E",,,48,"H,,S",60,",,E",35,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-30,0,",,E",,,49,"H,,S",56,",,E",43,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-01-31,0,",,E",,,44,"H,,S",51,",,E",42,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-01,0.6,",,E",,,45,"H,,S",53,",,E",35,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-02,0.02,",,E",,,45,"H,,S",51,",,E",43,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-03,0.14,",,E",,,47,"H,,S",58,",,E",35,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-04,0.75,",,E",,,49,"H,,S",53,",,E",43,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-05,0,",,E",,,45,"H,,S",55,",,E",40,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-06,0,",,E",,,49,"H,,S",62,",,E",36,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-07,0,",,E",,,52,"H,,S",63,",,E",49,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-02-08,0,",,E",,,46,"H,,S",62,",,E",35,",,E"
