grid,trackType,year,TAVG,isHistoric,oneHot_circuits_1,oneHot_circuits_2,oneHot_circuits_3,oneHot_circuits_4,oneHot_circuits_5,oneHot_circuits_6,alt_trans,PRCP_trans,normalized_minLapTime,normalized_avgLapTime
1,0,2018,84.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9873524208837544,-0.02043054745942404
15,0,2001,73.0,0,0,0,0,1,0,0,5.4638318050256105,0.0,1.0065970697249629,0.003766902607386687
14,0,2005,84.0,0,0,0,1,0,0,0,2.7080502011022096,0.0,0.99619474515812,-0.011305093774820422
16,1,2016,83.0,0,0,0,0,1,0,0,3.258096538021482,0.2468600779315258,1.0113213697929282,0.0022410085186164346
11,1,2015,62.0,1,1,0,0,0,0,0,2.7080502011022096,0.0,1.0012898085082258,-0.0009707010974786076
8,1,2009,85.0,0,0,0,0,1,0,0,3.258096538021482,0.0,0.9951672696576109,-0.0135607653360418
10,0,2015,76.0,0,0,0,0,1,0,0,2.3978952727983707,0.0,1.0046125078324672,-0.0033867602295816496
22,1,2002,61.0,1,0,1,0,0,0,0,3.0445224377234235,0.058268908123975824,1.0142843073286634,0.011063321191946742
1,0,2012,78.0,0,0,0,1,0,0,0,2.7080502011022096,0.0,0.9804581978883512,-0.0191765754341699
4,0,2002,77.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9960864074341692,-0.0015472242346849065
14,1,2021,68.0,0,0,0,0,0,1,0,0.0,0.009950330853168092,0.9969097035873776,0.05565568044658049
2,1,2014,53.0,1,1,0,0,0,0,0,2.7080502011022096,0.11332868530700327,0.9756388411484264,-0.04486961515922585
7,0,2006,80.0,0,0,0,0,0,1,0,4.927253685157205,0.0,0.9956267993389354,-0.005963810236864332
17,1,2011,83.0,0,0,0,0,1,0,0,3.258096538021482,0.0,0.9773950311136116,0.007957802618974297
2,1,2014,59.0,0,0,0,1,0,0,0,2.5649493574615367,0.0,0.9814801299609148,-0.021746345194299712
6,1,2019,58.0,1,0,1,0,0,0,0,3.0445224377234235,0.0,0.9627660902245212,-0.011758491805164663
2,0,2006,80.0,0,0,0,0,1,0,0,5.4638318050256105,0.0,0.9816559237392536,-0.02189120974081336
11,0,2016,67.0,0,0,1,0,0,0,0,3.970291913552122,0.26236426446749106,1.0064014931206855,0.000922956354475006
23,0,2011,69.0,0,1,0,0,0,0,0,4.762173934797756,0.0,1.0367302969173138,0.03414261755862778
7,0,2017,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9888228394635836,-0.0057570631265097
8,1,2010,52.0,1,1,0,0,0,0,0,2.7080502011022096,0.029558802241544432,0.9956267993389354,-0.005963810236864332
10,1,2000,57.0,1,1,0,0,0,0,0,2.7080502011022096,0.6575200029167942,0.987917712677562,-0.010012060437326598
2,0,2010,61.0,0,0,0,1,0,0,0,4.709530201312334,0.22314355131420974,0.9541598576137308,-0.005963810236864332
6,0,2016,85.0,0,0,0,1,0,0,0,3.258096538021482,0.0,0.9804216110006472,-0.01634886387294371
1,0,2012,58.0,0,0,0,1,0,0,0,4.709530201312334,0.0,0.9876791059190791,-0.018014222285226058
9,0,2004,52.0,0,0,0,0,1,0,0,3.80666248977032,0.4762341789963716,0.9853487499441966,-0.016507157918022028
4,0,2000,62.0,0,1,0,0,0,0,0,4.762173934797756,0.0,0.9721714126400148,-0.02650162253662517
15,0,2013,63.0,0,1,0,0,0,0,0,4.762173934797756,0.0,0.9874123398168652,-0.0006875727997274322
16,0,2020,79.0,0,0,0,0,0,1,0,2.302585092994046,0.0,1.0099123998213413,0.012690308034910884
19,1,2005,60.125,0,0,1,0,0,0,0,2.8903717578961645,0.058268908123975824,0.9864741619612608,-0.005425652989360049
13,0,2018,80.0,0,0,0,0,1,0,0,2.3978952727983707,0.0,0.9988184642694083,-0.01280203924033351
4,1,2013,59.2,0,0,1,0,0,0,0,2.8903717578961645,0.7929925155296614,0.9940942475831164,-0.013907898962523984
5,0,2009,58.0,1,1,0,0,0,0,0,5.081404364984463,0.0,0.999474892536147,-0.004485556592160342
14,0,2007,62.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9894995372215376,-0.007292339950052969
5,0,2005,65.0,1,0,1,0,0,0,0,6.013715156042802,0.8671004876833833,0.9600779412417104,-0.015450272871943737
2,1,2009,67.0,0,0,0,1,0,0,0,2.5649493574615367,0.0,0.9983719544716402,-0.015240114427603157
17,1,2003,66.0,1,0,1,0,0,0,0,3.0445224377234235,0.0,0.9987528787768554,-0.004609601419170869
12,1,2008,58.0,1,1,0,0,0,0,0,2.7080502011022096,0.4885800148186709,0.9707602197701172,0.03048849042574718
6,0,2002,77.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9995909269900254,-0.003745816512986917
11,1,2019,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,1.0045734191945035,-0.006466508424902013
6,1,2011,61.0,0,0,0,1,0,0,0,2.5649493574615367,0.0,0.9945501466390396,-0.014985869665695718
18,0,1996,67.0,0,0,0,0,1,0,0,5.4638318050256105,0.0,1.0241904127261612,0.019935475352320604
18,1,2019,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,1.032458043862344,0.023358839218027776
16,0,2013,62.0,1,0,1,0,0,0,0,6.013715156042802,0.0,1.01876410289472,0.027939010690497056
16,0,1997,72.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9953412987812049,-0.012779196040840627
16,0,2019,75.0,0,0,0,0,1,0,0,2.3978952727983707,0.0,1.0104715961440884,0.01059053628293144
20,1,2010,84.0,0,0,0,0,1,0,0,3.258096538021482,0.2700271372130602,0.9992732052536456,0.01464174734475814
13,0,1996,64.0,1,1,0,0,0,0,0,5.135798437050261,0.0,1.0075432724405071,0.004146587306286918
9,0,2015,67.0,0,1,0,0,0,0,0,4.762173934797756,0.0,0.9879979469093496,-0.013001487806281823
10,0,2018,88.8,0,0,0,0,0,1,0,2.302585092994046,0.0,0.9924520500467188,-0.0100067647400148
15,0,2009,68.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9899863892027612,-0.014576320843506975
5,0,2007,81.0,0,0,1,0,0,0,0,6.6758232216348485,0.0,0.9894290016642052,-0.04428292264622728
10,0,2019,69.0,0,1,0,0,0,0,0,4.762173934797756,0.0,1.0191847854935814,-0.028159062942763338
18,0,2006,78.0,0,0,0,0,0,1,0,5.442417710521793,0.0,0.9956267993389354,-0.005963810236864332
1,0,1998,66.0,0,0,0,1,0,0,0,4.709530201312334,0.08617769624105241,0.9870898815514438,-0.01975919832980375
12,0,2013,62.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9948472052092064,-0.006387937994219245
5,0,2007,65.0,1,0,0,1,0,0,0,6.373319789577013,0.0,0.9956267993389338,-0.005963810236864557
6,0,2003,80.0,0,0,0,1,0,0,0,4.709530201312334,0.0,0.9956267993389354,-0.005963810236864332
14,0,2020,55.0,0,0,0,0,0,1,0,4.927253685157205,0.058268908123975824,0.9622988686155254,-0.01725704080918028
17,1,2010,55.0,1,0,1,0,0,0,0,3.0445224377234235,0.0,0.9974529507704591,0.004218363966493646
20,0,2005,79.0,1,1,0,0,0,0,0,5.135798437050261,0.01980262729617973,1.018654226918699,0.029697050240567176
19,0,2013,63.0,0,1,0,0,0,0,0,4.762173934797756,0.0,0.9832043252025808,-0.004780678119994788
7,0,2016,85.0,0,0,0,1,0,0,0,3.258096538021482,0.0,0.9991516813809151,-0.010393988314384395
16,1,2012,66.6,0,0,1,0,0,0,0,2.8903717578961645,0.0,1.0016565355256328,0.012481562271048272
9,0,1999,65.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9905935751760079,-0.009599453986812645
13,0,2020,80.0,0,0,0,0,0,0,1,5.572154032177764,0.0,0.9956267993389354,0.01913112865755932
2,0,2008,76.0,0,0,1,0,0,0,0,6.6758232216348485,0.0,0.9934159514352005,-0.004606627027748194
5,0,2017,80.0,0,0,0,1,0,0,0,3.258096538021482,0.23111172096338664,0.992280540208717,-0.010892717710255555
2,0,2021,67.0,0,0,0,0,1,0,0,6.530877627725885,0.029558802241544432,0.9997955756735052,-0.01192419285130815
16,0,2005,79.0,0,0,0,0,0,1,0,4.927253685157205,0.0,1.0032210102667298,-0.0055954068833023295
4,0,2012,61.0,0,0,0,0,0,1,0,5.1298987149230735,0.0,0.9823133095415559,-0.008734049237996831
9,0,2013,86.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.997145594666024,-0.006029134187211973
5,1,2009,79.0,0,0,0,0,0,1,0,2.4849066497880004,0.0,0.9922187188282118,-0.007139451179081538
10,0,1999,68.0,0,0,0,0,1,0,0,5.4638318050256105,0.1906203596086497,0.9922385203299242,0.04527767515926018
13,0,2019,71.0,1,1,0,0,0,0,0,5.135798437050261,0.0,1.0120189531019093,0.01721715487644352
14,0,1999,82.0,0,0,0,1,0,0,0,3.258096538021482,0.7030975114131134,0.9784206097299526,-0.034599922096071184
11,0,2005,66.0,0,0,0,1,0,0,0,4.709530201312334,0.16551443847757333,0.9947705808472116,-0.022416088797351703
9,0,2016,76.0,0,0,0,0,1,0,0,2.3978952727983707,0.0,0.988980471993652,-0.00415289405083494
4,0,2014,71.0,0,0,1,0,0,0,0,3.970291913552122,0.0,0.9670807405283509,-0.015425060419140213
1,1,2007,65.0,1,0,1,0,0,0,0,3.0445224377234235,0.0,0.9790077801353946,0.008602677993167402
8,1,2003,61.05,0,0,1,0,0,0,0,2.8903717578961645,0.1823215567939546,0.9812614375721108,-0.012489115353432254
20,0,2010,79.0,0,0,0,0,1,0,0,2.3978952727983707,0.0,1.019819994193361,0.01778395120850394
2,0,1996,72.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.959009376070565,-0.03491054200593225
8,0,2006,78.0,0,0,0,0,0,1,0,5.442417710521793,0.0,0.9956267993389354,-0.005963810236864332
14,0,2016,67.0,1,1,0,0,0,0,0,5.081404364984463,0.0,0.9698693731356828,-0.043154427380815
22,0,2013,73.0,0,0,1,0,0,0,0,6.6758232216348485,0.5128236264286637,1.0045881127405358,0.02252837122479697
1,0,2010,80.0,0,0,0,1,0,0,0,2.7080502011022096,0.0,0.9766574747121172,-0.031127834927018587
10,0,2005,66.0,0,0,0,1,0,0,0,4.709530201312334,0.16551443847757333,0.9948097280897776,-0.019155426286778632
12,0,2002,69.0,0,0,1,0,0,0,0,3.970291913552122,0.0,1.0021872959112663,-0.03788370563822328
21,0,2010,80.0,0,0,0,1,0,0,0,2.7080502011022096,0.0,0.9968294997808272,0.007188619381086891
9,0,2005,79.0,1,1,0,0,0,0,0,5.135798437050261,0.01980262729617973,0.9959950869229788,-0.011895803015336848
14,0,2017,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,1.0103972555565022,2.8193771348407106e-05
21,1,1999,60.0,1,0,1,0,0,0,0,3.0445224377234235,0.08617769624105241,1.0019533361957813,-0.009678151720856322
3,0,2017,75.0,0,0,0,0,1,0,0,2.3978952727983707,0.0,0.9813923071192092,-0.01663780872275306
19,1,2018,85.0,0,0,0,1,0,0,0,2.5649493574615367,0.0,1.0118182683948107,0.0070152192051386895
2,0,2002,73.0,0,0,0,0,1,0,0,5.4638318050256105,0.8241754429663495,0.9842137858380752,-0.023745668948759745
1,1,2014,71.0,1,0,1,0,0,0,0,3.0445224377234235,0.01980262729617973,0.9710335430505336,-0.03625747313564479
5,0,2012,66.0,0,0,1,0,0,0,0,3.970291913552122,0.11332868530700327,1.0108018409222248,0.03190976554868143
13,0,2013,60.0,1,1,0,0,0,0,0,5.081404364984463,0.0,0.9925817151424318,0.014380708439341184
19,0,2011,69.0,0,1,0,0,0,0,0,4.762173934797756,0.0,0.9733496010701608,0.0019046135841811692
17,0,2010,61.0,0,1,0,0,0,0,0,4.762173934797756,0.029558802241544432,0.9922949598928932,-0.00941017995001169
1,1,2018,84.0,0,0,0,0,1,0,0,3.258096538021482,0.0,0.9826051954760944,-0.02067682854412519
15,0,1996,67.0,0,0,1,0,0,0,0,3.970291913552122,0.0,1.0282512433367492,0.01815945278594865
16,0,1998,80.0,0,0,1,0,0,0,0,6.6758232216348485,0.0,0.9947670666033712,0.0017316589755128867
15,0,2007,73.0,0,1,0,0,0,0,0,5.605802066295998,0.0,1.0080835085829072,0.0049481834880633095
18,0,2000,71.0,1,1,0,0,0,0,0,5.135798437050261,0.0,0.9956267993389354,-0.005963810236864332
9,0,2000,70.0,0,0,1,0,0,0,0,3.970291913552122,0.0,0.9936590514222748,-0.005646476597250717
18,0,2006,64.0,0,1,0,0,0,0,0,4.762173934797756,0.0,1.0156453254126685,-0.005963810236864332
7,0,2017,69.0,0,0,0,0,0,1,0,2.302585092994046,0.0,0.9955147212808894,-0.025858578766499617
16,0,2012,60.0,1,1,0,0,0,0,0,5.081404364984463,0.12221763272424913,0.9806869314399824,-0.027195764599273337
9,0,2006,68.0,0,0,1,0,0,0,0,6.6758232216348485,0.0,0.9853067016133942,-0.028274778083785607
16,0,2002,84.0,0,0,0,1,0,0,0,3.258096538021482,0.0,1.008848115747396,-0.00937432043912373
4,0,2003,71.0,0,0,0,0,1,0,0,5.4638318050256105,0.0,0.988617395170152,-0.016399303271481126
4,1,2015,71.0,1,0,1,0,0,0,0,3.0445224377234235,0.0,0.99407423472154,-0.011396104836894952
5,1,2016,59.0,0,0,0,0,0,1,0,0.0,0.6043159668533296,0.9976817261881616,-0.0030742343345239232
13,0,2007,62.0,0,0,0,0,0,0,1,6.3818160174060985,0.4252677354043441,1.0055273866776924,-0.01950235113669781
21,0,2007,65.0,1,0,0,1,0,0,0,6.373319789577013,0.0,0.9956267993389354,0.010731068303536172
17,0,1996,64.0,1,1,0,0,0,0,0,5.135798437050261,0.0,1.0016399392415951,0.002914423206215187
13,0,2018,71.0,1,1,0,0,0,0,0,5.135798437050261,0.0,1.0338078280069574,-0.005963810236864332
4,1,2009,79.0,0,0,0,0,0,1,0,2.4849066497880004,0.0,1.0034380538166814,0.010899301204143813
19,0,1996,58.0,0,0,0,0,0,0,1,2.772588722239781,0.0,1.0112426602569913,0.014183713898326525
15,0,2011,69.0,0,1,0,0,0,0,0,4.762173934797756,0.0,1.0150993100525465,0.017498848443081253
16,0,2020,70.0,0,0,0,0,1,0,0,2.3978952727983707,0.0,1.0132624928230345,0.007125341649045441
15,0,1996,58.0,0,0,0,0,0,0,1,2.772588722239781,0.0,1.008087898198056,0.022609314937825847
7,1,2017,53.0,0,0,0,1,0,0,0,2.5649493574615367,0.0,0.9915771437577472,-0.026837608336909312
4,1,2016,62.0,1,0,1,0,0,0,0,3.0445224377234235,0.7793248768009975,0.9909070362481632,-0.010135214265438659
20,1,2019,72.0,0,0,1,0,0,0,0,2.8903717578961645,0.0,1.014114390567614,0.03830675626110207
9,0,2020,77.0,0,0,0,1,0,0,0,2.7080502011022096,0.0,0.9586055094538578,-0.005963810236864332
21,0,2013,71.0,1,1,0,0,0,0,0,5.135798437050261,0.0,1.0235000367188074,0.021366321800773275
15,1,2001,55.0,1,0,1,0,0,0,0,3.0445224377234235,0.0,0.9956267993389354,-0.005963810236864332
