grid,alt,average_lap_time,minimum_lap_time,PRCP,TAVG,TMAX,TMIN,country_CompletionStatus_1,nationality_CompletionStatus_1,binned_circuits_CompletionStatus_1,trackType_CompletionStatus_1,country_CompletionStatus_2,nationality_CompletionStatus_2,binned_circuits_CompletionStatus_2,trackType_CompletionStatus_2
20,678,71014.47142857143,68216,0.0,61.0,67.0,50.0,0.2719298245614035,0.2395833333333333,0.24474959612277866,0.2372434830837493,0.7280701754385965,0.7604166666666666,0.7552504038772213,0.7627565169162507
24,785,91658.78260869565,81085,0.0,74.0,81.0,67.0,0.2612244897959184,0.23113964686998395,0.2775876817792985,0.2372434830837493,0.7387755102040816,0.7688603531300161,0.7224123182207014,0.7627565169162507
16,2,108154.0588235294,103979,0.0,57.0,78.0,42.0,0.11363636363636365,0.2395833333333333,0.21361058601134214,0.2372434830837493,0.8863636363636364,0.7604166666666666,0.7863894139886578,0.7627565169162507
10,-7,110366.6862745098,106822,0.83,59.0,65.0,51.0,0.24,0.2408376963350785,0.21361058601134214,0.2870452528837622,0.76,0.7591623036649214,0.7863894139886578,0.7129547471162379
2,678,70065.74647887322,67058,0.0,72.0,82.0,62.0,0.2719298245614035,0.2408376963350785,0.24474959612277866,0.2372434830837493,0.7280701754385965,0.7591623036649214,0.7552504038772213,0.7627565169162507
18,162,90977.26923076923,84951,0.0,69.0,76.0,61.0,0.27909887359199,0.20956576463184395,0.2534509202453988,0.2372434830837493,0.72090112640801,0.7904342353681558,0.7465490797546013,0.7627565169162507
17,0,107010.05454545456,103411,0.0,61.0,70.0,52.0,0.1935483870967742,0.292358803986711,0.2235294117647059,0.2372434830837493,0.8064516129032258,0.7076411960132891,0.7764705882352941,0.7627565169162507
13,194,92428.65,88431,0.0,72.0,86.0,55.0,0.15942028985507245,0.292358803986711,0.2235294117647059,0.2372434830837493,0.8405797101449275,0.7076411960132891,0.7764705882352941,0.7627565169162507
14,45,100283.75471698113,93479,0.0,70.0,81.0,59.0,0.21703853955375252,0.31784107946026985,0.2775876817792985,0.2372434830837493,0.7829614604462475,0.6821589205397302,0.7224123182207014,0.7627565169162507
10,18,98589.10714285713,96002,0.0,85.0,96.0,76.0,0.2607594936708861,0.2788104089219331,0.23568649249583104,0.2372434830837493,0.739240506329114,0.7211895910780669,0.7643135075041689,0.7627565169162507
10,5,101121.36363636363,96873,0.0,58.0,66.0,52.0,0.1543026706231454,0.2583941605839416,0.23568649249583104,0.2870452528837622,0.8456973293768546,0.7416058394160584,0.7643135075041689,0.7129547471162379
19,18,133765.32142857142,109061,0.0,83.0,91.0,75.0,0.2191235059760956,0.20956576463184395,0.24474959612277866,0.2870452528837622,0.7808764940239044,0.7904342353681558,0.7552504038772213,0.7129547471162379
12,10,116021.75,91684,0.0,66.6,72.0,61.2,0.35181236673773986,0.2408376963350785,0.2775876817792985,0.2870452528837622,0.6481876332622601,0.7591623036649214,0.7224123182207014,0.7129547471162379
10,18,100508.67857142855,98540,1.59,85.0,94.0,75.0,0.2607594936708861,0.20935960591133004,0.23568649249583104,0.2372434830837493,0.739240506329114,0.7906403940886699,0.7643135075041689,0.7627565169162507
15,45,100551.36538461539,97423,0.0,66.0,78.0,54.0,0.21703853955375252,0.2967032967032967,0.2775876817792985,0.2372434830837493,0.7829614604462475,0.7032967032967034,0.7224123182207014,0.7627565169162507
4,578,97571.9,94626,0.11,57.0,61.0,53.0,0.2914285714285714,0.23113964686998395,0.23568649249583104,0.2372434830837493,0.7085714285714285,0.7688603531300161,0.7643135075041689,0.7627565169162507
7,161,103473.17857142855,99672,0.0,61.0,76.0,45.0,0.2532894736842105,0.23113964686998395,0.21361058601134214,0.2372434830837493,0.7467105263157895,0.7688603531300161,0.7863894139886578,0.7627565169162507
14,161,107887.89285714287,101320,0.0,79.0,90.0,67.0,0.2532894736842105,0.2583941605839416,0.21361058601134214,0.2372434830837493,0.7467105263157895,0.7416058394160584,0.7863894139886578,0.7627565169162507
15,2227,86659.7,84340,0.0,55.0,72.0,38.0,0.1485148514851485,0.2395833333333333,0.21361058601134214,0.2372434830837493,0.8514851485148515,0.7604166666666666,0.7863894139886578,0.7627565169162507
12,162,85959.63461538461,83892,0.02,79.0,86.0,71.0,0.27909887359199,0.2788104089219331,0.2534509202453988,0.2372434830837493,0.72090112640801,0.7211895910780669,0.7465490797546013,0.7627565169162507
9,109,79373.24242424242,77357,0.0,64.0,78.0,57.0,0.2196969696969697,0.2063694267515924,0.2534509202453988,0.2372434830837493,0.7803030303030303,0.7936305732484077,0.7465490797546013,0.7627565169162507
3,785,78884.74647887322,71082,0.0,72.0,78.0,66.0,0.2612244897959184,0.2408376963350785,0.2775876817792985,0.2372434830837493,0.7387755102040816,0.7591623036649214,0.7224123182207014,0.7627565169162507
15,194,93055.72881355931,88928,0.0,77.0,89.0,64.0,0.15942028985507245,0.2063694267515924,0.2235294117647059,0.2372434830837493,0.8405797101449275,0.7936305732484077,0.7764705882352941,0.7627565169162507
6,5,99673.96428571428,97212,0.0,76.0,84.0,72.0,0.1543026706231454,0.20956576463184395,0.23568649249583104,0.2870452528837622,0.8456973293768546,0.7904342353681558,0.7643135075041689,0.7129547471162379
16,18,109921.09677419356,99250,2.46,80.0,92.0,74.0,0.2607594936708861,0.292358803986711,0.23568649249583104,0.2372434830837493,0.739240506329114,0.7076411960132891,0.7643135075041689,0.7627565169162507
21,5,106690.74545454542,102357,0.0,64.0,70.0,58.0,0.1543026706231454,0.31690140845070425,0.23568649249583104,0.2870452528837622,0.8456973293768546,0.6830985915492958,0.7643135075041689,0.7129547471162379
1,161,106377.64285714287,99856,0.0,79.0,90.0,67.0,0.2532894736842105,0.20956576463184395,0.21361058601134214,0.2372434830837493,0.7467105263157895,0.7904342353681558,0.7863894139886578,0.7627565169162507
10,401,144475.70454545456,114342,0.0,70.0,76.0,63.0,0.23008849557522126,0.292358803986711,0.2775876817792985,0.2372434830837493,0.7699115044247787,0.7076411960132891,0.7224123182207014,0.7627565169162507
14,7,101232.5974025974,78872,0.0,59.0,74.0,42.0,0.3515625,0.20956576463184395,0.2534509202453988,0.2870452528837622,0.6484375,0.7904342353681558,0.7465490797546013,0.7129547471162379
17,578,97786.16949152543,94091,0.0,63.0,74.0,51.0,0.2914285714285714,0.32258064516128343,0.23568649249583104,0.2372434830837493,0.7085714285714285,0.6774193548387165,0.7643135075041689,0.7627565169162507
7,678,70910.81428571428,68738,0.0,72.0,82.0,62.0,0.2719298245614035,0.15625,0.24474959612277866,0.2372434830837493,0.7280701754385965,0.84375,0.7552504038772213,0.7627565169162507
21,162,96016.56862745098,90783,0.0,71.0,80.0,62.0,0.27909887359199,0.20956576463184395,0.2534509202453988,0.2372434830837493,0.72090112640801,0.7904342353681558,0.7465490797546013,0.7627565169162507
8,223,75844.76712328767,74016,0.0,78.0,91.0,65.0,0.2532894736842105,0.31784107946026985,0.21361058601134214,0.2372434830837493,0.7467105263157895,0.6821589205397302,0.7863894139886578,0.7627565169162507
6,18,122800.1186440678,112931,0.0,83.0,90.0,78.0,0.2191235059760956,0.2408376963350785,0.24474959612277866,0.2870452528837622,0.7808764940239044,0.7591623036649214,0.7552504038772213,0.7129547471162379
2,10,97997.41379310343,88358,0.0,74.0,80.0,68.0,0.35181236673773986,0.20935960591133004,0.2775876817792985,0.2870452528837622,0.6481876332622601,0.7906403940886699,0.7224123182207014,0.7129547471162379
8,2,107994.80769230767,102344,0.0,62.0,71.0,52.0,0.11363636363636365,0.17616580310880828,0.21361058601134214,0.2372434830837493,0.8863636363636364,0.8238341968911918,0.7863894139886578,0.7627565169162507
16,13,82737.08695652174,77705,0.2,64.0,67.0,61.0,0.3347368421052632,0.20935960591133004,0.2775876817792985,0.2870452528837622,0.6652631578947369,0.7906403940886699,0.7224123182207014,0.7129547471162379
