raceId,year,round,circuitId,name,date,time,url,Circuit Location,Circuit Country,PRCP,TAVG,TMAX,TMIN
193,1998,3,25,Argentine Grand Prix,4/12/1998,,http://en.wikipedia.org/wiki/1998_Argentine_Grand_Prix,Buenos Aires,Argentina,0,65,68,62
209,1997,3,25,Argentine Grand Prix,4/13/1997,,http://en.wikipedia.org/wiki/1997_Argentine_Grand_Prix,Buenos Aires,Argentina,0,75,83,64
226,1996,3,25,Argentine Grand Prix,4/7/1996,,http://en.wikipedia.org/wiki/1996_Argentine_Grand_Prix,Buenos Aires,Argentina,0,58,75,44
241,1995,2,25,Argentine Grand Prix,4/9/1995,,http://en.wikipedia.org/wiki/1995_Argentine_Grand_Prix,Buenos Aires,Argentina,0,63,81,57
485,1981,3,25,Argentine Grand Prix,4/12/1981,,http://en.wikipedia.org/wiki/1981_Argentine_Grand_Prix,Buenos Aires,Argentina,0.08,65,77,57
498,1980,1,25,Argentine Grand Prix,1/13/1980,,http://en.wikipedia.org/wiki/1980_Argentine_Grand_Prix,Buenos Aires,Argentina,0,76,88,64
512,1979,1,25,Argentine Grand Prix,1/21/1979,,http://en.wikipedia.org/wiki/1979_Argentine_Grand_Prix,Buenos Aires,Argentina,0,77,85,68
527,1978,1,25,Argentine Grand Prix,1/15/1978,,http://en.wikipedia.org/wiki/1978_Argentine_Grand_Prix,Buenos Aires,Argentina,0,73,80,59
543,1977,1,25,Argentine Grand Prix,1/9/1977,,http://en.wikipedia.org/wiki/1977_Argentine_Grand_Prix,Buenos Aires,Argentina,0,85,94,77
576,1975,1,25,Argentine Grand Prix,1/12/1975,,http://en.wikipedia.org/wiki/1975_Argentine_Grand_Prix,Buenos Aires,Argentina,0.08,73,80,55
590,1974,1,25,Argentine Grand Prix,1/13/1974,,http://en.wikipedia.org/wiki/1974_Argentine_Grand_Prix,Buenos Aires,Argentina,0,78,86,72
605,1973,1,25,Argentine Grand Prix,1/28/1973,,http://en.wikipedia.org/wiki/1973_Argentine_Grand_Prix,Buenos Aires,Argentina,0,72,79,59
620,1972,1,25,Argentine Grand Prix,1/23/1972,,http://en.wikipedia.org/wiki/1972_Argentine_Grand_Prix,Buenos Aires,Argentina,0,78,87,69
746,1960,1,25,Argentine Grand Prix,2/7/1960,,http://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix,Buenos Aires,Argentina,0,78,90,65
765,1958,1,25,Argentine Grand Prix,1/19/1958,,http://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix,Buenos Aires,Argentina,0,63,82,50
776,1957,1,25,Argentine Grand Prix,1/13/1957,,http://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix,Buenos Aires,Argentina,0,62,73,50
784,1956,1,25,Argentine Grand Prix,1/22/1956,,http://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix,Buenos Aires,Argentina,0,69,76,61
792,1955,1,25,Argentine Grand Prix,1/16/1955,,http://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix,Buenos Aires,Argentina,0,85,97,72
799,1954,1,25,Argentine Grand Prix,1/17/1954,,http://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix,Buenos Aires,Argentina,0,75,87,63
808,1953,1,25,Argentine Grand Prix,1/18/1953,,http://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix,Buenos Aires,Argentina,0,69,83,54
256,1995,17,29,Australian Grand Prix,11/12/1995,,http://en.wikipedia.org/wiki/1995_Australian_Grand_Prix,Adelaide,Australia,0,,84,
272,1994,16,29,Australian Grand Prix,11/13/1994,,http://en.wikipedia.org/wiki/1994_Australian_Grand_Prix,Adelaide,Australia,0.11,,84,
288,1993,16,29,Australian Grand Prix,11/7/1993,,http://en.wikipedia.org/wiki/1993_Australian_Grand_Prix,Adelaide,Australia,0,,71,
304,1992,16,29,Australian Grand Prix,11/8/1992,,http://en.wikipedia.org/wiki/1992_Australian_Grand_Prix,Adelaide,Australia,0,,81,
320,1991,16,29,Australian Grand Prix,11/3/1991,,http://en.wikipedia.org/wiki/1991_Australian_Grand_Prix,Adelaide,Australia,0.08,,77,
336,1990,16,29,Australian Grand Prix,11/4/1990,,http://en.wikipedia.org/wiki/1990_Australian_Grand_Prix,Adelaide,Australia,0,,77,
371,1989,16,29,Australian Grand Prix,11/5/1989,,http://en.wikipedia.org/wiki/1989_Australian_Grand_Prix,Adelaide,Australia,0,,78,
387,1988,16,29,Australian Grand Prix,11/13/1988,,http://en.wikipedia.org/wiki/1988_Australian_Grand_Prix,Adelaide,Australia,0,,76,
403,1987,16,29,Australian Grand Prix,11/15/1987,,http://en.wikipedia.org/wiki/1987_Australian_Grand_Prix,Adelaide,Australia,0,,76,
419,1986,16,29,Australian Grand Prix,10/26/1986,,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix,Adelaide,Australia,0.01,,77,
435,1985,16,29,Australian Grand Prix,11/3/1985,,http://en.wikipedia.org/wiki/1985_Australian_Grand_Prix,Adelaide,Australia,0,,84,
1,2009,1,1,Australian Grand Prix,3/29/2009,6:00:00,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,Melbourne,Australia,0,,78,
18,2008,1,1,Australian Grand Prix,3/16/2008,4:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,Melbourne,Australia,0,,104,
36,2007,1,1,Australian Grand Prix,3/18/2007,3:00:00,http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix,Melbourne,Australia,0,,70,
55,2006,3,1,Australian Grand Prix,4/2/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix,Melbourne,Australia,0.02,,64,
71,2005,1,1,Australian Grand Prix,3/6/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix,Melbourne,Australia,0.06,,65,
90,2004,1,1,Australian Grand Prix,3/7/2004,,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix,Melbourne,Australia,0.07,,63,
108,2003,1,1,Australian Grand Prix,3/9/2003,,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix,Melbourne,Australia,0.2,,66,
124,2002,1,1,Australian Grand Prix,3/3/2002,,http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix,Melbourne,Australia,0,,70,
141,2001,1,1,Australian Grand Prix,3/4/2001,,http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix,Melbourne,Australia,0,,70,
158,2000,1,1,Australian Grand Prix,3/12/2000,,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix,Melbourne,Australia,0,,70,
175,1999,1,1,Australian Grand Prix,3/7/1999,,http://en.wikipedia.org/wiki/1999_Australian_Grand_Prix,Melbourne,Australia,0,,70,
191,1998,1,1,Australian Grand Prix,3/8/1998,,http://en.wikipedia.org/wiki/1998_Australian_Grand_Prix,Melbourne,Australia,0,,70,
207,1997,1,1,Australian Grand Prix,3/9/1997,,http://en.wikipedia.org/wiki/1997_Australian_Grand_Prix,Melbourne,Australia,0,,70,
224,1996,1,1,Australian Grand Prix,3/10/1996,,http://en.wikipedia.org/wiki/1996_Australian_Grand_Prix,Melbourne,Australia,0,,70,
338,2010,2,1,Australian Grand Prix,3/28/2010,6:00:00,http://en.wikipedia.org/wiki/2010_Australian_Grand_Prix,Melbourne,Australia,0,,80,
