raceId,driverId,constructorId,grid,position,positionText,positionOrder,laps,fastestLap,rank,fastestLapSpeed,familyStatus,Completion Status,year,circuitId,country,alt,isHistoric,trackType,nationality,total_lap_time,average_lap_time,minimum_lap_time
1,1,1,18,,D,20,58,39,13,214.455,3,0,2009,1,Australia,10,0,2,British,5658698,97563.75862,89020
1,2,2,9,10,10,10,58,48,5,216.245,4,1,2009,1,Australia,10,0,2,German,5662869,97635.67241,88283
1,3,3,5,6,6,6,58,48,1,217.668,4,1,2009,1,Australia,10,0,2,German,5661506,97612.17241,87706
1,4,4,10,5,5,5,58,53,9,215.199,4,1,2009,1,Australia,10,0,2,Spanish,5660663,97597.63793,88712
1,6,3,11,,R,18,17,6,18,212.301,1,0,2009,1,Australia,10,0,2,Japanese,1560978,91822.23529,89923
1,7,5,17,8,8,8,58,50,17,212.537,4,1,2009,1,Australia,10,0,2,French,5662082,97622.10345,89823
1,8,6,7,15,15,15,55,35,7,215.744,6,0,2009,1,Australia,10,0,2,Finnish,5339301,97078.2,88488
1,9,2,4,14,14,14,55,36,2,216.97,2,0,2009,1,Australia,10,0,2,Polish,5233838,95160.69091,87988
1,10,7,19,4,4,4,58,53,6,215.92,4,1,2009,1,Australia,10,0,2,German,5660219,97589.98276,88416
1,12,4,14,,R,17,24,17,19,210.943,1,0,2009,1,Australia,10,0,2,Brazilian,2442374,101765.5833,90502
1,13,6,6,,R,16,45,30,15,214.164,3,0,2009,1,Australia,10,0,2,Brazilian,4365106,97002.35556,89141
1,15,7,20,3,3,3,58,50,10,214.706,4,1,2009,1,Australia,10,0,2,Italian,5657388,97541.17241,88916
1,16,10,16,9,9,9,58,43,11,214.64,4,1,2009,1,Australia,10,0,2,German,5662119,97622.74138,88943
1,17,9,8,12,12,12,57,38,8,215.695,4,1,2009,1,Australia,10,0,2,Australian,5656197,99231.52632,88508
1,18,23,1,1,1,1,58,17,3,216.891,4,1,2009,1,Australia,10,0,2,British,5655784,97513.51724,88020
1,20,9,3,13,13,13,56,8,4,216.596,2,0,2009,1,Australia,10,0,2,German,5394225,96325.44643,88140
1,21,10,15,11,11,11,58,51,12,214.491,4,1,2009,1,Australia,10,0,2,Italian,5663158,97640.65517,89005
1,22,23,2,2,2,2,58,43,14,214.344,4,1,2009,1,Australia,10,0,2,Brazilian,5656591,97527.43103,89066
1,67,5,13,7,7,7,58,34,16,213.95,4,1,2009,1,Australia,10,0,2,Swiss,5661788,97617.03448,89230
2,1,1,12,7,7,7,31,17,11,201.276,4,1,2009,2,Malaysia,18,0,0,British,3391355,109398.5484,99141
2,2,2,10,2,2,2,31,17,10,201.392,4,1,2009,2,Malaysia,18,0,0,German,3353344,108172.3871,99084
2,3,3,4,8,8,8,31,13,4,204.459,4,1,2009,2,Malaysia,18,0,0,German,3402198,109748.3226,97598
2,4,4,9,11,11,11,31,17,9,201.551,4,1,2009,2,Malaysia,18,0,0,Spanish,3440044,110969.1613,99006
2,6,3,11,12,12,12,31,17,15,200.778,4,1,2009,2,Malaysia,18,0,0,Japanese,3446752,111185.5484,99387
2,7,5,15,10,10,10,31,17,12,201.072,4,1,2009,2,Malaysia,18,0,0,French,3432786,110735.0323,99242
2,8,6,7,14,14,14,31,17,7,202.683,4,1,2009,2,Malaysia,18,0,0,Finnish,3473463,112047.1935,98453
2,9,2,6,,R,19,1,,,,6,0,2009,2,Malaysia,18,0,0,Polish,122738,122738,122738
2,10,7,3,3,3,3,31,18,16,200.74,4,1,2009,2,Malaysia,18,0,0,German,3354135,108197.9032,99406
2,12,4,17,13,13,13,31,18,14,201.019,4,1,2009,2,Malaysia,18,0,0,Brazilian,3447335,111204.3548,99268
2,13,6,16,9,9,9,31,17,13,201.055,4,1,2009,2,Malaysia,18,0,0,Brazilian,3407554,109921.0968,99250
2,15,7,2,4,4,4,31,12,3,204.473,4,1,2009,2,Malaysia,18,0,0,Italian,3376795,108928.871,97591
2,16,10,19,17,17,17,30,17,18,200.623,4,1,2009,2,Malaysia,18,0,0,German,3358426,111947.5333,99464
2,17,9,5,6,6,6,31,14,5,204.304,4,1,2009,2,Malaysia,18,0,0,Australian,3382955,109127.5806,97672
2,18,23,1,1,1,1,31,18,1,206.483,4,1,2009,2,Malaysia,18,0,0,British,3330622,107439.4194,96641
2,20,9,13,15,15,15,30,10,6,202.737,1,0,2009,2,Malaysia,18,0,0,German,3243504,108116.8,98427
2,21,10,18,18,18,18,29,16,17,200.738,1,0,2009,2,Malaysia,18,0,0,Italian,3196065,110209.1379,99407
2,22,23,8,5,5,5,31,17,2,204.698,4,1,2009,2,Malaysia,18,0,0,Brazilian,3377982,108967.1613,97484
2,67,5,20,16,16,16,30,16,8,201.689,1,0,2009,2,Malaysia,18,0,0,Swiss,3270736,109024.5333,98938
3,1,1,9,6,6,6,56,39,12,171.138,4,1,2009,17,China,5,0,2,British,7135351,127416.9821,114665
3,2,2,11,12,12,12,56,40,7,171.898,4,1,2009,17,China,5,0,2,German,7159319,127844.9821,114158
3,3,3,7,15,15,15,55,55,8,171.77,4,1,2009,17,China,5,0,2,German,7111069,129292.1636,114243
3,4,4,2,9,9,9,56,38,9,171.413,4,1,2009,17,China,5,0,2,Spanish,7147794,127639.1786,114481
3,5,1,12,5,5,5,56,41,10,171.361,4,1,2009,17,China,5,0,2,Finnish,7128587,127296.1964,114516
3,6,3,14,,R,18,43,38,17,168.925,3,0,2009,17,China,5,0,2,Japanese,5735114,133374.7442,116167
3,7,5,15,11,11,11,56,43,5,172.934,4,1,2009,17,China,5,0,2,French,7157641,127815.0179,113474
3,8,6,8,10,10,10,56,38,15,170.054,4,1,2009,17,China,5,0,2,Finnish,7155235,127772.0536,115396
3,9,2,17,13,13,13,56,44,14,170.122,4,1,2009,17,China,5,0,2,Polish,7170338,128041.75,115350
3,10,7,19,7,7,7,56,42,3,174.117,4,1,2009,17,China,5,0,2,German,7137961,127463.5893,112703
3,12,4,16,16,16,16,54,42,16,169.849,4,1,2009,17,China,5,0,2,Brazilian,7096406,131414.9259,115535
