"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-01",,"39","42",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-02",,"38","40",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-03",,"44","52",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-04",,"45","53",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-05",,"39","47",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-06",,"43",,
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-07",,"42","51",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-08",,"39","42",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-09",,"29","34",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-10",,"28","35",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-11",,"36","45",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-12",,"42","51",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-13",,"46","59",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-14",,"37","45",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-15",,"37","48",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-16",,"43","51",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-17",,"38","51",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-18",,"38","46",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-19",,"36","42",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-20",,"36","47",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-21",,"34","35",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-22",,"36","39",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-23",,"38","40",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-24",,"37","38",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-25",,"39","44",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-26",,"39","44",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-27",,"40","50",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-28",,"38","44",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-29",,"45","55",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-30",,"40","49",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-01-31",,"41","50",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-01",,"45","57",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-02",,"48","63",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-03",,"53","70",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-04",,"54","62",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-05",,"45","54",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-06",,"44","56",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-07",,"46","56",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-08",,"47","54",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-09",,"40","46",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-10",,"44","54",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-11",,"41",,
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-12",,"41","43",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-13",,"41","45",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-14",,"41","44",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-15",,"39","44",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-16",,"40","52",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-17",,"36","46",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-18",,"38","40",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-19",,"32",,
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-20",,"36","41",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-21",,"36","41",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-22",,"38",,
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-23",,"39","49",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-24",,"39","45",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-25",,"41","50",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-26",,"41","49",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-27",,"42",,
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-02-28",,"43","48",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-01",,"50","60",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-02",,"50",,
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-03",,"46","56",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-04",,"48","55",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-05",,"45","54",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-06",,"42","52",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-07",,"44","54",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-08",,"46","54",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-09",,"38","41",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-10",,"41","50",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-11",,"44","55",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-12",,"47","58",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-13",,"54","68",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-14",,"51","62",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-15",,"50","59",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-16",,"43","54",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-17",,"42","45",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-18",,"44","50",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-19",,"43","50",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-20",,"40","48",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-21",,"46","58",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-22",,"43","54",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-23",,"48","59",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-24",,"49","59",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-25",,"47","52",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-26",,"51",,
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-27",,"54","66",
"AJ000037735","GANCA, AJ","40.7167","46.4167","311.0","2015-03-28",,"52","58",
