STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-01,0,65
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-02,0,69
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-03,0,89
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-04,0,72
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-05,0,66
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-06,0.01,69
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-07,0,63
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-08,0,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-09,0,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-10,0,67
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-11,0,72
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-12,0,66
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-13,0,70
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-14,0.22,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-15,0.02,62
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-16,0,67
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-17,0,89
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-18,0,78
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-19,0.04,78
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-20,0.04,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-21,0.38,62
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-22,0,65
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-23,0,88
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-24,0,74
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-25,0,72
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-26,0,71
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-27,0,80
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-28,0,70
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-29,0,75
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-30,0,92
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1949-12-31,0.17,69
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-01,0,80
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-02,0,69
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-03,0.01,72
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-04,0,87
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-05,0,98
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-06,0,67
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-07,0,72
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-08,0,76
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-09,0.05,65
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-10,0.09,67
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-11,0,75
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-12,0,90
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-13,0,102
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-14,0,83
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-15,0.02,67
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-16,0,93
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-17,0,72
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-18,0,74
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-19,0,69
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-20,0.04,71
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-21,0,74
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-22,0,74
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-01-23,0,65
