"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-01",,"63","68","57"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-02",,"67","75","62"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-03",,"63","67",
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-04",,"60","65","56"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-05",,"60",,"56"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-06",,"62","64","57"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-07",,"60",,
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-08",,"58","62","53"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-09",,"61",,"55"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-10",,"58",,"51"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-11",,"56","61","51"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-12",,"56",,"52"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-13",,"63",,"53"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-14",,"64","71","58"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-15",,"64","73","61"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-16",,"61",,
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-17",,"59","63",
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-18",,"63","68","56"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-19",,"62","70",
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-20",,"57","61",
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-21",,"57","60",
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-22",,"57","63","53"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-23",,"58","62",
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-24",,"60","65","57"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-25","0.00","60",,"55"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-26",,"59","66","52"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-27",,"60","63",
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-28",,"58",,
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-29",,"57",,
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-30",,"54","58","51"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-01-31",,"55","61","51"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-01",,"55","62","49"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-02",,"56","61","51"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-03",,"58",,"47"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-04",,"59","67",
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-05",,"60","64","54"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-06",,"60",,"56"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-07",,"62","68","58"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-08",,"60","64","56"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-09",,"59","65","53"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-10",,"59","63","53"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-11",,"61",,"55"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-12",,"61","66","55"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-13",,"61","65","55"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-14",,"61","67","54"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-15",,"63","69","54"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-16",,"64","67","59"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-17",,"67","74",
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-18",,"65","69","60"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-19",,"69","79","58"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-20",,"68","74","62"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-21",,"64","67","59"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-22",,"62","65","58"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-23",,"57","61",
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-24",,"59",,"53"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-25",,"58","70",
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-26",,"67",,"61"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-27",,"62",,
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-02-28",,"60",,"57"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-03-01",,"58",,"53"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-03-02",,"60",,"54"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-03-03",,"61",,"53"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-03-04",,"65","76",
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-03-05",,"69",,"62"
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-03-06",,"67",,
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-03-07",,"62","67",
"BA000041150","BAHRAIN INT. AIRPORT, BA","26.267","50.65","2.0","1983-03-08",,"60","65","55"
