STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
BE000006447,Belgium,50.8,4.35,104,2021-01-01,0,35,39,
BE000006447,Belgium,50.8,4.35,104,2021-01-02,0,36,38,32
BE000006447,Belgium,50.8,4.35,104,2021-01-03,0,37,38,
BE000006447,Belgium,50.8,4.35,104,2021-01-04,0.07,35,,35
BE000006447,Belgium,50.8,4.35,104,2021-01-05,0,36,36,35
BE000006447,Belgium,50.8,4.35,104,2021-01-06,0.01,36,37,
BE000006447,Belgium,50.8,4.35,104,2021-01-07,0.11,35,38,
BE000006447,Belgium,50.8,4.35,104,2021-01-08,0.01,35,38,
BE000006447,Belgium,50.8,4.35,104,2021-01-09,0,29,32,27
BE000006447,Belgium,50.8,4.35,104,2021-01-10,0,31,37,29
BE000006447,Belgium,50.8,4.35,104,2021-01-11,0.03,38,,29
BE000006447,Belgium,50.8,4.35,104,2021-01-12,1.03,42,46,
BE000006447,Belgium,50.8,4.35,104,2021-01-13,0.04,36,40,31
BE000006447,Belgium,50.8,4.35,104,2021-01-14,0.39,35,,
BE000006447,Belgium,50.8,4.35,104,2021-01-15,0,33,35,30
BE000006447,Belgium,50.8,4.35,104,2021-01-16,0.12,32,33,
BE000006447,Belgium,50.8,4.35,104,2021-01-17,0.11,38,43,31
BE000006447,Belgium,50.8,4.35,104,2021-01-18,0.04,39,42,35
BE000006447,Belgium,50.8,4.35,104,2021-01-19,0.32,43,46,39
BE000006447,Belgium,50.8,4.35,104,2021-01-20,0.05,47,,42
BE000006447,Belgium,50.8,4.35,104,2021-01-21,0.49,46,,42
BE000006447,Belgium,50.8,4.35,104,2021-01-22,0.12,39,45,
BE000006447,Belgium,50.8,4.35,104,2021-01-23,0.11,38,42,
BE000006447,Belgium,50.8,4.35,104,2021-01-24,0.07,34,36,
BE000006447,Belgium,50.8,4.35,104,2021-01-25,0.04,36,41,33
BE000006447,Belgium,50.8,4.35,104,2021-01-26,0,37,42,
BE000006447,Belgium,50.8,4.35,104,2021-01-27,0.11,38,,33
BE000006447,Belgium,50.8,4.35,104,2021-01-28,0.67,48,51,42
BE000006447,Belgium,50.8,4.35,104,2021-01-29,0.57,48,,
BE000006447,Belgium,50.8,4.35,104,2021-01-30,0.47,37,,
BE000006447,Belgium,50.8,4.35,104,2021-01-31,0.18,33,,
BE000006447,Belgium,50.8,4.35,104,2021-02-01,0.09,39,40,36
BE000006447,Belgium,50.8,4.35,104,2021-02-02,0.24,46,52,38
BE000006447,Belgium,50.8,4.35,104,2021-02-03,0.57,49,54,
BE000006447,Belgium,50.8,4.35,104,2021-02-04,0,46,50,
BE000006447,Belgium,50.8,4.35,104,2021-02-05,0,46,50,
BE000006447,Belgium,50.8,4.35,104,2021-02-06,0.38,42,47,
BE000006447,Belgium,50.8,4.35,104,2021-02-07,0.17,29,,
BE000006447,Belgium,50.8,4.35,104,2021-02-08,0.09,22,,
BE000006447,Belgium,50.8,4.35,104,2021-02-09,0,21,28,
BE000006447,Belgium,50.8,4.35,104,2021-02-10,0,19,,17
BE000006447,Belgium,50.8,4.35,104,2021-02-13,0,30,35,
BE000006447,Belgium,50.8,4.35,104,2021-02-14,0,32,42,21
BE000006447,Belgium,50.8,4.35,104,2021-02-15,0.11,40,,36
BE000006447,Belgium,50.8,4.35,104,2021-02-16,0.11,48,57,42
BE000006447,Belgium,50.8,4.35,104,2021-02-17,0,49,54,45
BE000006447,Belgium,50.8,4.35,104,2021-02-18,0.17,46,53,
BE000006447,Belgium,50.8,4.35,104,2021-02-19,,41,,38
BE000006447,Belgium,50.8,4.35,104,2021-02-20,,59,,
BE000006447,Belgium,50.8,4.35,104,2021-02-21,0,55,64,
BE000006447,Belgium,50.8,4.35,104,2021-02-22,0,56,62,49
BE000006447,Belgium,50.8,4.35,104,2021-02-23,0,58,64,54
BE000006447,Belgium,50.8,4.35,104,2021-02-24,0,58,66,
BE000006447,Belgium,50.8,4.35,104,2021-02-25,0.1,55,65,
BE000006447,Belgium,50.8,4.35,104,2021-02-26,0.05,46,51,
BE000006447,Belgium,50.8,4.35,104,2021-02-27,0,39,43,34
BE000006447,Belgium,50.8,4.35,104,2021-02-28,0,43,53,35
BE000006447,Belgium,50.8,4.35,104,2021-03-01,0,43,53,
BE000006447,Belgium,50.8,4.35,104,2021-03-02,0,48,63,37
BE000006447,Belgium,50.8,4.35,104,2021-03-03,0,52,61,44
BE000006447,Belgium,50.8,4.35,104,2021-03-04,0.5,42,,
BE000006447,Belgium,50.8,4.35,104,2021-03-05,0,38,44,
BE000006447,Belgium,50.8,4.35,104,2021-03-06,0,36,45,27
BE000006447,Belgium,50.8,4.35,104,2021-03-07,0,36,43,
BE000006447,Belgium,50.8,4.35,104,2021-03-08,0,40,47,
BE000006447,Belgium,50.8,4.35,104,2021-03-09,0.08,42,45,38
BE000006447,Belgium,50.8,4.35,104,2021-03-10,0.05,44,50,38
BE000006447,Belgium,50.8,4.35,104,2021-03-11,0.04,49,55,43
BE000006447,Belgium,50.8,4.35,104,2021-03-12,0,44,47,41
BE000006447,Belgium,50.8,4.35,104,2021-03-13,0.26,45,50,
BE000006447,Belgium,50.8,4.35,104,2021-03-14,0.15,42,49,36
BE000006447,Belgium,50.8,4.35,104,2021-03-15,0.12,43,47,41
BE000006447,Belgium,50.8,4.35,104,2021-03-16,0.3,42,,41
BE000006447,Belgium,50.8,4.35,104,2021-03-17,0.04,42,46,39
BE000006447,Belgium,50.8,4.35,104,2021-03-18,0.01,41,44,38
BE000006447,Belgium,50.8,4.35,104,2021-03-19,0,41,48,
BE000006447,Belgium,50.8,4.35,104,2021-03-20,0,41,48,
BE000006447,Belgium,50.8,4.35,104,2021-03-21,0,43,46,40
BE000006447,Belgium,50.8,4.35,104,2021-03-22,0,43,46,40
BE000006447,Belgium,50.8,4.35,104,2021-03-23,0,46,54,40
BE000006447,Belgium,50.8,4.35,104,2021-03-24,0,49,60,38
BE000006447,Belgium,50.8,4.35,104,2021-03-25,0,48,53,43
BE000006447,Belgium,50.8,4.35,104,2021-03-26,0.11,48,55,
BE000006447,Belgium,50.8,4.35,104,2021-03-27,0.06,44,50,38
BE000006447,Belgium,50.8,4.35,104,2021-03-28,0,51,57,43
BE000006447,Belgium,50.8,4.35,104,2021-03-29,0,57,67,50
