"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-01","0.00","44","55","33"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-02","0.13","44","46","42"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-03","0.00","45","52","41"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-04","0.00","47","55","44"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-05","0.00","49","56","44"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-06","0.29","53","57","46"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-07","0.06","46","47","44"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-08","0.04","47","50","44"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-09","0.51","45","49","35"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-10","0.04","33","37","29"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-11","0.00","30","34","26"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-12","0.00","29","33","23"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-13","0.00","24","29","19"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-14","0.00","29","35","24"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-15","0.00","34","43","25"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-16","0.00","36","42","31"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-17","0.00","37","47","28"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-18","0.00","39","43","35"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-19","0.00","39","44","36"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-20","0.00","36","42","29"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-21","0.00","26","30","21"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-22","0.00","28","37","22"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-23","0.00","32","38","23"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-01-24","0.00","34","44","29"
