"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-01","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-02","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-03","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-04","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-05","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-06","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-07","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-08","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-09","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-10","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-11","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-12","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-13","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-14","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-15","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-16","1.06",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-17","0.25",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-18","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-19","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-20","0.09",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-21","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-22","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-23","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-24","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-25","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-26","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-27","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-28","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-29","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-30","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-01-31","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-01","0.06",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-02","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-03","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-04","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-05","0.13",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-06","0.60",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-07","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-08","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-09","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-10","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-11","0.07",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-12","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-13","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-14","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-15","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-16","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-17","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-18","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-19","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-20","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-21","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-22","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-23","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-24","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-25","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-26","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-27","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-02-28","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-01","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-02","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-03","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-04","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-05","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-06","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-07","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-08","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-09","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-10","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-11","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-12","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-13","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-14","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-15","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-16","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-17","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-18","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-19","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-20","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-21","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-22","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-23","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-24","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-25","0.27",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-26","0.59",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-27","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-28","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-29","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-30","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-03-31","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-01","0.19",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-02","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-03","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-04","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-05","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-06","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-07","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-08","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-09","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-10","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-11","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-12","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-13","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-14","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-15","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-16","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-17","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-18","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-19","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-20","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-21","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-22","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-23","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-24","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-25","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-26","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-27","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-28","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-29","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-04-30","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-05-01","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-05-02","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-05-03","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-05-04","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-05-05","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-05-06","0.00",,,
"IN023351400","LUCKNOW AMAUSI, IN","26.75","80.883","128.0","1951-05-07","0.00",,,
