"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-01","0.00",,"45","26"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-02","0.00",,"47","29"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-03","0.00",,"47","28"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-04","0.00",,"49","29"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-05","0.00",,"49","26"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-06","0.00",,"45","33"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-07","0.00",,"39","33"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-08","0.00",,"46","27"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-09","0.00",,"46","34"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-10","0.85",,"39","33"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-11","0.18",,"43","34"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-12","0.01",,"49","37"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-13","0.00",,"43","32"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-14","0.00",,"41","29"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-15","0.00",,"43","24"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-16","0.13",,"37","29"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-17","0.00",,"52","27"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-18","0.00",,"49","36"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-19","0.01",,"47","35"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-20","0.07",,"55","41"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-21","0.00",,"47","26"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-22","0.00",,"42","22"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-23","0.00",,"50","24"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-24","0.00",,"53","24"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-25","0.00",,"55","27"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-26","0.00",,"50","29"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-27","0.01",,"50","32"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-28","0.01",,"52","33"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-29","0.00",,"58","33"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-30","0.11",,"51","33"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-01-31","0.06",,"51","31"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-02-01","0.00",,"56","36"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-02-02","0.00",,"58","30"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-02-03","0.00",,"45","28"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-02-04","0.00",,"46","24"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-02-05","0.00",,"47","28"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-02-06","0.00",,"46","29"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-02-07","0.00",,"50","28"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-02-08","0.00",,"51","28"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-02-09","0.07",,"43","35"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-02-10","0.01",,"57","40"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-02-11","0.00",,"50","36"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-02-12","0.00",,"50","33"
"JA000047662","TOKYO, JA","35.683","139.767","36.0","1951-02-13","0.00",,"44","30"
