"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-01","0.12",,"47","39"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-02","0.00",,"48","35"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-03","0.00",,"44","33"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-04","0.00",,"36","26"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-05","0.00",,"40","24"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-06","0.08",,"31","17"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-07","0.00",,"35","16"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-08","0.04",,"48","31"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-09","0.04",,"44","27"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-10","0.08",,"40","28"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-11","0.00",,"44","27"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-12","0.12",,"43","33"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-13","0.12",,"55","39"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-14","0.00",,"46","34"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-15","0.00",,"53","32"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-16","0.00",,"58","39"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-17","0.12",,"64","48"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-18","0.35",,"54","41"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-19","0.00",,"45","32"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-20","0.00",,"48","29"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-21","0.00",,"46","32"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-22","0.00",,"40","30"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-23","0.08",,"36","27"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-24","0.00",,"41","27"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-25","0.00",,"45","26"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-26","0.00",,"53","32"
"KS000047165","MOKPO, KS","34.817","126.383","39.0","1950-01-27","0.00",,"50","33"
