"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-01-08","0.12","79","90",
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-01-13","0.39","80","90","74"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-01-17","0.55","80","91","74"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-01-18",,"78",,"73"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-01-20","0.16","77","88",
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-01-27","0.02","78","88","73"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-01-28","0.91","75","92","72"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-01-31","0.31","78","90","71"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-02-01","0.04","80","91","74"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-02-04","0.01","79","91","72"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-02-13",,"81",,"72"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-02-19","0.12","74","80",
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-02-24",,"80","92","72"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-02-25","0.12","78",,
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-02-26","0.20","78","91",
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-02-27","0.20","78","89","73"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-03-03","0.01","79",,"71"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-03-07","0.59","79","93","73"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-03-17","0.20","80","93","74"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-03-22","0.94","78",,
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1950-03-30","1.61","78","88",
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1951-02-14","0.02","80","92","71"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1951-02-25","5.12","78","89","70"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1951-04-12","0.75","80","93","74"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1954-03-15","0.24","80","91","70"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1954-08-30",,"79",,"75"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1954-10-02","0.59","76","87","72"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1954-10-04","0.08","77","87","73"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1954-10-05","0.51","77","84","72"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1954-10-07","0.12","80","91",
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1954-10-08","0.04","74","87","72"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1954-10-09","0.02","78","90","70"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1954-10-10","1.06","80","91","74"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1954-10-12","0.04","78","88","74"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1954-10-19","0.20","80","91","71"
"MYM00048647","SULTAN ABDUL AZIZ SHAH INTERNATIONAL, MY","3.131","101.549","27.4","1954-10-26","0.02","78","89","73"
