"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-01","1.53",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-02","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-03","0.07",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-04","0.02",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-05","0.40",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-06","0.31",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-07","0.03",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-08","0.12",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-09","0.62",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-10","1.37",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-11","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-12","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-13","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-14","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-15","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-16","0.55",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-17","1.55",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-18","1.42",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-19","0.06",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-20","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-21","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-22","0.10",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-23","0.18",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-24","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-25","0.11",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-26","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-27","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-28","0.36",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-29","0.28",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-30","0.01",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-01-31","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-01","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-02","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-03","0.08",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-04","0.02",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-05","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-06","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-07","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-08","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-09","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-10","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-11","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-12","0.06",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-13","0.01",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-14","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-15","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-16","0.18",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-17","0.19",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-18","0.02",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-19","0.09",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-20","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-21","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-22","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-23","0.05",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-24","0.20",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-25","0.01",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-26","0.00",,,
"RSM00037014","GORJACIJ KLJUC, RS","44.633","39.1","62.0","1950-02-27","0.00",,,
