"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-01","0.04",,"84","69"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-02","0.00",,"83","69"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-03","0.08",,"87","72"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-04","0.12",,"76","64"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-05","0.00",,"80","66"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-06","0.00",,"79","66"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-07","0.00",,"86","70"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-08","0.00",,"84","72"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-09","0.00",,"77","68"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-10","0.00",,"73","67"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-11","0.00",,"74","63"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-12","0.00",,"88","59"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-13","0.00",,"86","67"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-14","0.00",,"83","70"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-15","0.00",,"81","63"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-16","0.00",,"86","61"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-17","0.00",,"84","63"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-18","0.00",,"88","61"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-19","0.00",,"90","64"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-20","0.00",,"90","64"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-21","0.00",,"87","68"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-22","0.00",,"84","69"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-23","0.00",,"85","65"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-24","0.00",,"89","70"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-25","0.00",,"81","62"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-26","0.00",,"80","64"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-27","0.00",,"85","62"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-28","0.00",,"87","60"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-29","0.00",,"86","66"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-30","0.00",,"85","69"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-01-31","0.00",,"87","66"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-02-01","0.00",,"88","68"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-02-02","0.00",,"88","72"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-02-03","0.00",,"88","71"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-02-04","0.00",,"87","68"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-02-05","0.00",,"87","68"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-02-06","0.00",,"90","72"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-02-07","0.00",,"87","73"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-02-08","0.00",,"79","73"
"SA000041024","JEDDAH KING ABDUL, SA","21.7","39.183","17.0","1978-02-09","0.00",,"82","70"
