"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-08",,"65",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-09",,"59",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-10",,"62",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-11",,"67",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-12",,"71",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-13",,"71",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-14",,"67",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-15",,"71",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-16",,"67",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-17",,"70",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-23",,"67",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-24",,"65",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-25",,"67",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-26",,"70",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-27",,"70",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-28",,"68",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-29",,"65",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-30",,"66",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-01-31",,"66",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-02-01",,"68",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","1991-02-02",,"67",,
