"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-01","0.00",,"49","36"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-02","0.00",,"45","32"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-03","0.00",,"47","30"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-04","0.00",,"50","30"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-05","0.00",,"50","30"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-06","0.00",,"41","28"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-07","0.00",,"46","28"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-08","0.00",,"48","35"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-09","0.00",,"50","39"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-10","0.00",,"50","34"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-11","0.00",,"49","32"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-12","0.00",,"49","32"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-13","0.00",,"50","31"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-14","0.00",,"50","32"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-15","0.00",,"50","32"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-16","0.00",,"46","29"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-17","0.00",,"45","29"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-18","0.00",,"43","30"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-19","0.00",,"45","29"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-20","0.00",,"41","23"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-21","0.00",,"35","23"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-22","0.07",,"37","24"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-23","0.00",,"45","32"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-24","0.00",,"45","23"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-25","0.00",,"45","23"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-26","0.06",,"42","27"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-27","0.00",,"45","41"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-28","0.00",,"48","23"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-29","0.00",,"45","24"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-30","0.00",,"44","39"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-01-31","0.00",,"44","32"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-01","0.00",,"48","33"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-02","0.00",,"45","27"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-03","0.08",,"45","30"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-04","0.00",,"43","39"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-05","0.24",,"47","30"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-06","0.10",,"48","36"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-07","0.00",,"50","32"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-08","0.00",,"51","32"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-09","0.00",,"57","33"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-10","0.00",,"54","30"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-11","0.00",,"43","27"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-12","0.00",,"46","30"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-13","0.15",,"41","33"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-14","0.00",,"48","35"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-15","0.00",,"48","30"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-16","0.00",,"60","35"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-17","0.00",,"61","35"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-18","0.00",,"56","34"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-19","0.00",,"63","38"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-20","0.00",,"62","35"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-21","0.00",,"58","35"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-22","0.00",,"60","41"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-23","0.00",,"49","39"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-24","0.00",,"52","39"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-25","0.06",,"43","40"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-26","0.00",,"49","39"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-27","0.42",,"50","37"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-02-28","0.00",,"57","37"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-01","0.00",,"45","39"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-02","0.00",,"51","29"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-03","0.00",,"52","26"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-04","0.00",,"59","38"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-05","0.00",,"62","33"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-06","0.00",,"54","35"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-07","0.00",,"54","34"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-08","0.00",,"55","32"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-09","0.00",,"62","34"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-10","0.00",,"54","36"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-11","0.00",,"65","35"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-12","0.00",,"63","35"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-13","0.00",,"73","33"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-14","0.00",,"72","34"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-15","0.00",,"57","34"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-16","0.14",,"54","34"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-17","0.00",,"61","35"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-18","0.31",,"60","36"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-19","0.24",,"54","35"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-20","0.00",,"61","40"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-21","0.00",,"65","42"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-22","0.00",,"70","40"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-23","0.00",,"72","40"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-24","0.00",,"75","43"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-25","0.00",,"78","44"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-26","0.00",,"64","47"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-27","0.00",,"73","38"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-28","0.20",,"59","38"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-29","0.01",,"61","38"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-30","0.00",,"54","36"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-03-31","0.01",,"54","40"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-01","0.00",,"59","29"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-02","0.00",,"67","32"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-03","0.00",,"62","40"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-04","0.00",,"65","35"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-05","0.00",,"71","34"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-06","0.00",,"72","36"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-07","0.00",,"73","39"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-08","0.00",,"77","44"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-09","0.00",,"81","43"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-10","0.00",,"81","43"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-11","0.00",,"79","43"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-12","0.00",,"68","50"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-13","0.04",,"68","44"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-14","0.00",,"57","41"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-15","0.00",,"56","36"
"SPE00120287","MADRID CUATROVIENTOS, SP","40.3778","-3.7892","687.0","1950-04-16","0.00",,"60","33"
