"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-02",,"63","86","57"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-04",,"67",,"59"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-06",,"67","72","55"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-07",,"67","72","60"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-09",,"64",,
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-10",,"62","71",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-11",,"64","68","57"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-12",,"60","70","49"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-13",,"60",,"50"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-14",,"59","72","49"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-15",,"64",,
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-17",,"58","69","49"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-18",,"63","77","47"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-19",,"66","81",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-20",,"60","72",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-21",,"59","65",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-22",,"62","68","57"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-23",,"61","72","51"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-24",,"65","75","54"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-25",,"63","67",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-26",,"62","67","57"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-27",,"61","68","54"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-28",,"60","69","50"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-29",,"61","69","53"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-30",,"61",,
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-01-31",,"60",,"56"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-02",,"59",,
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-03",,"58",,
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-04",,"58",,"55"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-05",,"60","68","50"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-06",,"60",,
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-07",,"63","73","54"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-08",,"63","71","54"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-09",,"63","70","57"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-10",,"63","69","55"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-11",,"63","66",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-12",,"62","66","59"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-13",,"61","67",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-14",,"59","67","51"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-15",,"59","71","48"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-16",,"63","74",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-17",,"70","83","54"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-18",,"69","80","63"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-19",,"73","85","65"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-20",,"72","86","59"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-21",,"71","90","55"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-22",,"69","76","63"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-24",,"60","68",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-02-27",,"77",,"63"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-04",,"67","80","48"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-05",,"69","88",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-06",,"78",,
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-08",,"61","67","56"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-10",,"67",,"59"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-11",,"63",,
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-12",,"65","74","54"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-13",,"67","74","63"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-14",,"67","76","60"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-17",,"69","85","62"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-18",,"64","71",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-19",,"64","71","58"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-20",,"66","74","56"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-21",,"68","82","51"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-22",,"76","93","59"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-23",,"76","90","69"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-24",,"68","75",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-25",,"66",,"60"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-26",,"63",,"54"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-28",,"68","85","58"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-29",,"68","86","56"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-30",,"72","90",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-03-31",,"73","79","65"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-01",,"73",,"61"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-03",,"66","78","52"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-04",,"74","83","62"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-05",,"70","81",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-07",,"69","79","57"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-08",,"69","83","59"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-09",,"75","92","63"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-10",,"74","85","68"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-11",,"78",,"68"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-12",,"78",,"69"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-13",,"74","83",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-14",,"74","82",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-15",,"71","79","60"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-16",,"70","86","62"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-17",,"73","88","60"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-18",,"78",,"63"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-19",,"82","94",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-20",,"80","93","70"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-21",,"77","90",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-22",,"78","95",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-23",,"81","95",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-24",,"80","95",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-25",,"85","99","70"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-26",,"79","89","69"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-27",,"72","92","65"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-28",,"84","97",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-04-29",,"87","94",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-02",,"90","100","70"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-03",,"83","92",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-04",,"77","89","66"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-05",,"81",,"67"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-06",,"84","102","68"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-07",,"85","98","68"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-08",,"86","102","70"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-09",,"87",,"74"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-10",,"87","99","80"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-11",,"89","101","80"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-12",,"91","102","76"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-13",,"87","111",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-14",,"95","109",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-15",,"96","111","85"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-16",,"93","110","85"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-17",,"93",,"78"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-18",,"89","107","77"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-19",,"88","106","77"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-20",,"90","101","76"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-21",,"88","101","78"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-22",,"91",,"77"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-23",,"91","104","74"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-24",,"94",,"79"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-25",,"94","111","80"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-26",,"91","107",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-27",,"89","104","78"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-28",,"88","101",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-29",,"91","107","76"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-30",,"91","102","78"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-05-31",,"88",,
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-01",,"85","96","73"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-02",,"90","104","70"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-03",,"90","112","77"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-04",,"92","109","78"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-05",,"91","106","78"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-06",,"91","103","80"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-07",,"89","109","79"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-08",,"90","103","78"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-09",,"89","99","78"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-10",,"89","105","76"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-11",,"90","104","80"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-12",,"91",,"78"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-13",,"90",,"82"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-14",,"88","99","82"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-15",,"87","106","77"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-16",,"90","108","79"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-17",,"91","103",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-18",,"88",,"75"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-19",,"88","103","74"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-20",,"87","104","75"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-21",,"89","102","78"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-22",,"89","100",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-23",,"89","101","76"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-24",,"90",,"78"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-25",,"94","109",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-26",,"93","105","80"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-27",,"92",,
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-28",,"91","99","84"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-29",,"93","104","83"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-06-30",,"92","101",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-01",,"89","98",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-02",,"88","98","75"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-03",,"89","105","74"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-04",,"95","111",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-05",,"90","103",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-06",,"90","107",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-07",,"90","105","77"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-08",,"89","103","75"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-09",,"90","104",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-10",,"93","110","79"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-11",,"93","110","80"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-12",,"92","109","80"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-13",,"95","106","78"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-14",,"101","117",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-15",,"96",,
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-16",,"92","112","62"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-17",,"91",,"78"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-18",,"93","113","80"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-19",,"94",,
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-20",,"97","118","82"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-21",,"96",,"82"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-22",,"95","110",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-23",,"94","107","83"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-24",,"96","107","86"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-25",,"93","104",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-26",,"90",,"83"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-27",,"90",,"82"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-28",,"92","99","82"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-29",,"94","103","82"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-30",,"92","102","80"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-07-31",,"90","101",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-01",,"92","101",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-02",,"94","105",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-03",,"95","104","89"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-04",,"94",,"87"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-05",,"93","103","87"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-06",,"95","105","89"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-07",,"96","110","91"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-08",,"96","107","88"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-09",,"93","102","87"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-10",,"94","107",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-11",,"94","104","85"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-12",,"90","99",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-13",,"92","104","85"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-14",,"95","106","86"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-15",,"95","108",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-16",,"97","108","85"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-17",,"98","112","88"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-18",,"98","114","88"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-19",,"99","110","90"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-20",,"98","109","87"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-21",,"97","112","90"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-22",,"96","112",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-23",,"96","110","91"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-24",,"95","109",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-25",,"95","107","84"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-26",,"93","102",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-27",,"91","101",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-28",,"91","100",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-29",,"92","106",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-30",,"93","108",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-08-31",,"94","107",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","24.433","54.651","26.8","1983-09-01",,"94","109","83"
