STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/1/1950,0.21,,46,35
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/2/1950,0.1,,51,43
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/3/1950,0.36,,60,46
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/4/1950,0.73,,56,20
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/5/1950,0.31,,29,19
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/6/1950,0.01,,30,22
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/7/1950,0.22,,26,18
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/8/1950,0,,28,13
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/9/1950,0,,46,19
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/10/1950,0.35,,62,29
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/11/1950,0,,30,12
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/12/1950,0,,37,20
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/13/1950,0.11,,66,35
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/14/1950,0.5,,58,22
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/15/1950,,,49,20
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/16/1950,0,,44,15
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/17/1950,0,,38,16
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/18/1950,0,,40,9
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/19/1950,0,,23,3
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/20/1950,0,,25,8
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/21/1950,0.12,,35,18
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/22/1950,0,,42,34
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/23/1950,0,,38,31
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/24/1950,0.51,,58,29
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/25/1950,0.21,,72,53
USC00200230,"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,247.8,1/26/1950,0.5,,66,19
