"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1958-12-18",,"69","79","59"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-01-07",,"54","55","50"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-01-16",,"58","63","54"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-01-19",,"53","59","48"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-01-31",,"65","66","61"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-02-12",,"69","75","57"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-03-13",,"63","66","61"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-04-03",,"76","82","70"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-04-09",,"76","81","72"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-04-20",,"77","84","72"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-04-21",,"78","84","72"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-04-24",,"81",,"72"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-04-27",,"79","88","70"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-05-01",,"77","88","64"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-05-02",,"79","88","70"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-05-04",,"83","95","75"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-05-14",,"83","88",
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-06-18",,"88","97","81"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-06-22",,"79","84","70"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-06-23",,"81","93",
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-07-14",,"86","91","75"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-09-01",,"84","90","79"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-09-05",,"81","86","73"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-10-08",,"76",,"68"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-10-18",,"75","86","61"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-10-19",,"77","86",
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-10-20",,"77",,"61"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-10-21",,"74","86","66"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-10-22",,"76","84","68"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-10-24",,"76","86","68"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-10-26",,"76",,"68"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-10-28",,"76","86","72"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-11-02",,"85","93","79"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-11-16",,"68","72","64"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-11-17",,"71","79","66"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-11-18",,"75","84","68"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-11-19",,"76","86","70"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-11-20",,"77","88","72"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-11-23",,"73","82","66"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-11-24",,"74","86","68"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-11-26",,"61","66",
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-11-27",,"62","66","59"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-11-28",,"65","73","59"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-12-08",,"63","68","59"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-12-09",,"65","70","63"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-12-10",,"68","72","66"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-12-12",,"73","82","66"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-12-27",,"58","61",
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-12-30",,"62","66","61"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1959-12-31",,"57","61",
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-01",,"60","68","52"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-02",,"58","70","43"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-03",,"57","72",
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-04",,"60",,"48"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-05",,"65","70","59"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-06",,"63","73",
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-07",,"64","73","55"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-09",,"67","75",
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-10",,"70","79",
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-11",,"66","79","59"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-16",,"66",,
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-17",,"64","68","63"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-20",,"72","79","70"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-24",,"49","54",
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-27",,"49","50","48"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-28",,"48","50",
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-01-30",,"56","61","52"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-02-04",,"60","64","57"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-02-15",,"68","75","63"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-02-18",,"65","72",
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-02-20",,"61","66","57"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-02-26",,"70","79","66"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-03-02",,"72","79","70"
"VMM00048820","NOIBAI INTERNATIONAL, VM","21.221","105.807","11.9","1960-03-03",,"73","79","70"
